3lbs,0
3mg,1
3rd,2
3rd day,3
3rd month,4
3rd week,5
abdomen,6
abdominal,7
abdominal pain,8
ability,9
able,10
able control,11
able eat,12
able fall,13
able fall asleep,14
able get,15
able lose,16
able quit,17
able sleep,18
able stop,19
able take,20
abnormal,21
absolute,22
absolutely,23
absolutely amazing,24
absolutely love,25
absolutely nothing,26
acanya,27
accident,28
according,29
accutane,30
accutane month,31
accutane year,32
ache,33
achieve,34
acid,35
acid reflux,36
acne,37
acne acne,38
acne almost,39
acne also,40
acne always,41
acne around,42
acne away,43
acne back,44
acne bad,45
acne breakout,46
acne came,47
acne came back,48
acne cheek,49
acne chin,50
acne clear,51
acne cleared,52
acne come,53
acne come back,54
acne completely,55
acne cream,56
acne ever,57
acne face,58
acne first,59
acne forehead,60
acne free,61
acne get,62
acne getting,63
acne gone,64
acne got,65
acne got worse,66
acne gotten,67
acne life,68
acne like,69
acne long,70
acne medication,71
acne month,72
acne much,73
acne never,74
acne nothing,75
acne prescribed,76
acne pretty,77
acne problem,78
acne really,79
acne scar,80
acne severe,81
acne since,82
acne since tried,83
acne since year,84
acne started,85
acne still,86
acne took,87
acne treatment,88
acne tried,89
acne used,90
acne week,91
acne well,92
acne went,93
acne within,94
acne worse,95
acne worst,96
acne would,97
acne year,98
acne year tried,99
across,100
act,101
acting,102
active,103
activity,104
actos,105
actual,106
actually,107
actually work,108
aczone,109
adapalene,110
add,111
added,112
addict,113
addicted,114
addiction,115
addictive,116
adding,117
addition,118
additional,119
adhd,120
adipex,121
adipex day,122
adipex month,123
adjust,124
adjusted,125
adjusting,126
adjustment,127
admit,128
adult,129
adult acne,130
adult life,131
adverse,132
advice,133
advil,134
advise,135
advised,136
affect,137
affected,138
affected area,139
affecting,140
afford,141
affordable,142
afraid,143
afrezza,144
afternoon,145
afterwards,146
age,147
agitated,148
ago,149
ago acne,150
ago already,151
ago doctor,152
ago first,153
ago lb,154
ago lost,155
ago lost lb,156
ago lost pound,157
ago prescribed,158
ago side,159
ago side effect,160
ago started,161
ago still,162
ago today,163
ago went,164
agree,165
agreed,166
ahead,167
aid,168
air,169
alarm,170
alcohol,171
alcohol withdrawal,172
alcoholic,173
alcoholism,174
alert,175
aleve,176
allergic,177
allergic reaction,178
allergy,179
alli,180
allow,181
allowed,182
allows,183
almost,184
almost completely,185
almost every,186
almost gone,187
almost immediately,188
almost month,189
almost two,190
almost week,191
almost year,192
alone,193
along,194
alot,195
already,196
already lost,197
already lost lb,198
already lost pound,199
also,200
also experienced,201
also feel,202
also felt,203
also get,204
also got,205
also help,206
also helped,207
also lost,208
also made,209
also noticed,210
also prescribed,211
also started,212
also take,213
also take metformin,214
also taking,215
also use,216
also used,217
also using,218
also work,219
alternative,220
although,221
altogether,222
always,223
amazed,224
amazing,225
amazing result,226
amazingly,227
ambien,228
ambien lunesta,229
ambien work,230
ambien worked,231
ambien year,232
amitriptyline,233
amount,234
amount food,235
amount time,236
amount weight,237
anger,238
angry,239
ankle,240
annoying,241
another,242
another lb,243
another month,244
another one,245
another pound,246
another week,247
answer,248
antabuse,249
anti,250
anti depressant,251
antibiotic,252
antidepressant,253
anxiety,254
anxiety attack,255
anxiety depression,256
anxiety insomnia,257
anxious,258
anybody,259
anymore,260
anyone,261
anyone else,262
anyone struggling,263
anything,264
anything else,265
anything like,266
anyway,267
anyways,268
anywhere,269
apart,270
app,271
apparently,272
appear,273
appeared,274
appetite,275
appetite craving,276
appetite decreased,277
appetite eat,278
appetite feel,279
appetite gone,280
appetite suppressant,281
apple,282
application,283
applied,284
apply,285
applying,286
appointment,287
approved,288
approx,289
approximately,290
april,291
aquaphor,292
area,293
arm,294
around,295
around chin,296
around day,297
around eye,298
around lb,299
around month,300
around mouth,301
around nose,302
around period,303
around pound,304
around time,305
around week,306
around year,307
arthritis,308
aside,309
ask,310
ask doctor,311
asked,312
asked doctor,313
asking,314
asleep,315
asleep hour,316
asleep night,317
asleep stay,318
asleep stay asleep,319
asleep staying,320
asleep staying asleep,321
asleep wake,322
asleep within,323
asleep within minute,324
aspect,325
associated,326
ate,327
ativan,328
atralin,329
attack,330
attempt,331
attention,332
attitude,333
aug,334
august,335
avail,336
available,337
average,338
averaging,339
avoid,340
awake,341
awake hour,342
awake night,343
aware,344
away,345
away day,346
away soon,347
away time,348
awesome,349
awful,350
awhile,351
awoke,352
baby,353
back,354
back acne,355
back asleep,356
back chest,357
back day,358
back dermatologist,359
back doctor,360
back month,361
back neck,362
back normal,363
back one,364
back pain,365
back pill,366
back sleep,367
back smoking,368
back started,369
back track,370
back week,371
back went,372
back year,373
baclofen,374
bacteria,375
bactrim,376
bad,377
bad acne,378
bad breakout,379
bad cystic,380
bad cystic acne,381
bad dream,382
bad experience,383
bad headache,384
bad side,385
bad side effect,386
bad skin,387
bad taste,388
bad thing,389
badly,390
bag,391
balance,392
balanced,393
band,394
bar,395
barely,396
based,397
basically,398
basis,399
bathroom,400
battle,401
battled,402
battling,403
bear,404
bearable,405
beat,406
beautiful,407
became,408
become,409
becomes,410
becoming,411
bed,412
bed time,413
bedtime,414
beer,415
began,416
began taking,417
began using,418
begin,419
beginning,420
begun,421
behavior,422
behind,423
belching,424
believe,425
belly,426
belsomra,427
belviq,428
belviq day,429
belviq month,430
belviq week,431
benadryl,432
beneficial,433
benefit,434
benzaclin,435
benzodiazepine,436
benzos,437
benzoyl,438
benzoyl peroxide,439
besides,440
best,441
best decision,442
best decision ever,443
best ever,444
best luck,445
best medicine,446
best part,447
best result,448
best sleep,449
best thing,450
best thing ever,451
better,452
better choice,453
better day,454
better ever,455
better month,456
better result,457
better skin,458
better sleep,459
better still,460
better year,461
beware,462
beyaz,463
beyond,464
big,465
big deal,466
big difference,467
bigger,468
biggest,469
bike,470
binge,471
binge eating,472
bipolar,473
birth,474
birth control,475
birth control pill,476
birthday,477
bit,478
bit nausea,479
bite,480
black,481
black head,482
blackhead,483
bladder,484
bleeding,485
bleeds,486
blemish,487
blessing,488
bloated,489
bloating,490
block,491
blood,492
blood glucose,493
blood pressure,494
blood sugar,495
blood sugar level,496
blood sugar reading,497
blood test,498
blood work,499
blown,500
blue,501
blurred,502
blurred vision,503
blurry,504
blurry vision,505
bmi,506
body,507
body ache,508
body get,509
body get used,510
bone,511
bontril,512
bonus,513
boob,514
book,515
boost,516
borderline,517
bored,518
born,519
bother,520
bothered,521
bothersome,522
bottle,523
bottom,524
bought,525
bout,526
bowel,527
bowel movement,528
box,529
boy,530
boyfriend,531
brain,532
brain fog,533
brand,534
brand name,535
bread,536
break,537
break out,538
breakfast,539
breaking,540
breakout,541
breakthrough,542
breast,543
breath,544
breathe,545
breathing,546
bright,547
bring,548
bringing,549
brings,550
broke,551
broken,552
brother,553
brought,554
brown,555
build,556
build tolerance,557
built,558
built tolerance,559
bump,560
bump forehead,561
bumped,562
bumpy,563
bunch,564
bupropion,565
burn,566
burned,567
burning,568
burning sensation,569
burnt,570
burp,571
burping,572
burst,573
busy,574
butt,575
buy,576
buying,577
bydureon,578
byetta,579
bypass,580
caffeine,581
cake,582
cal,583
call,584
called,585
called doctor,586
calm,587
calmed,588
caloric,589
caloric intake,590
calorie,591
calorie day,592
calorie diet,593
calorie intake,594
calorie per,595
calorie per day,596
came,597
came back,598
campral,599
cancer,600
candy,601
cant,602
capsule,603
car,604
carb,605
carb diet,606
carbs,607
card,608
cardio,609
care,610
careful,611
carry,612
case,613
cat,614
catch,615
caught,616
cause,617
caused,618
causing,619
caution,620
center,621
cerave,622
certain,623
certainly,624
cessation,625
cetaphil,626
champix,627
chance,628
change,629
change diet,630
change eating,631
change eating habit,632
change life,633
change lifestyle,634
change skin,635
changed,636
changed diet,637
changed eating,638
changed eating habit,639
changed life,640
changer,641
changing,642
chantix,643
chantix day,644
chantix first,645
chantix month,646
chantix quit,647
chantix smoked,648
chantix week,649
chantix worked,650
chapped,651
chapped lip,652
chapstick,653
charm,654
cheap,655
cheaper,656
cheat,657
check,658
checked,659
checking,660
cheek,661
cheek chin,662
cheek forehead,663
cheese,664
chemical,665
chest,666
chest back,667
chest pain,668
chew,669
chewing,670
chicken,671
child,672
chill,673
chin,674
chin area,675
chin cheek,676
chin forehead,677
chocolate,678
choice,679
cholesterol,680
choose,681
chose,682
christmas,683
